,0
length,16.0
r2 (tr),0.7300939494504646
TSS,33.38525847019305
q2(RAN),0.9950907327967731
q2(LOO),0.9647709006591116
q2(VEN),0.8765309290402391
r2(y_ran),0.5622173730738059
q2(y_ran),0.01749502169805183
r2(test),0.8808416075328737
rank,2.0
slope (test),0.553485965718657
intercept (test),2.383201526812414
AD(test),0.2619047619047619
rm2(test),0.7754341493239595
rou,0.4272727272727273
MAE(test),0.6992652061451368
PRESS,0.44891757435854696
q2f3,0.9486585098088002
q2f2,0.9385316230862302
q2f1,0.9385987056658486
ccc,0.6265980211744017
